vehicle_id,step,t,command_x_global,command_y,command_v,command_a,realized_x_global,realized_y,realized_v,result
MV_ACTIVE,22,2.2,6935.31683280888,-3.5,24.11798632963422,2.4508390293190745,6935.31683280888,-3.5,24.11798632963422,matched
MV_ACTIVE,23,2.3,6937.752159496525,-3.5,24.353266876448853,2.352805468146312,6937.752159496525,-3.5,24.353266876448853,matched
MV_ACTIVE,24,2.4,6940.210073116664,-3.5,24.5791362013909,2.258693249420459,6940.210073116664,-3.5,24.5791362013909,matched
MV_ACTIVE,25,2.5,6942.689670191998,-3.5,24.79597075333526,2.1683455194436405,6942.689670191998,-3.5,24.79597075333526,matched
MV_ACTIVE,26,2.6,6945.190083384318,-3.5,25.00413192320185,2.0816116986658955,6945.190083384318,-3.5,25.00413192320185,matched
MV_ACTIVE,27,2.7,6947.710480048946,-3.5,25.203966646273777,1.99834723071926,6947.710480048946,-3.5,25.203966646273777,matched
MV_ACTIVE,28,2.8,6950.250060846988,-3.5,25.395807980422827,1.9184133414904894,6950.250060846988,-3.5,25.395807980422827,matched
MV_ACTIVE,29,2.9,6952.8080584131085,-3.5,25.579975661205914,1.8416768078308694,6952.8080584131085,-3.5,25.579975661205914,matched
MV_ACTIVE,30,3.0,6955.383736076585,-3.5,25.756776634757678,1.7680097355176345,6955.383736076585,-3.5,25.756776634757678,matched
MV_ACTIVE,31,3.1,6953.9763866335215,-3.5,25.92650556936737,1.697289346096929,6953.9763866335215,-3.5,25.92650556936737,matched
MV_ACTIVE,32,3.2,6956.585331168181,-3.5,26.089445346592676,1.6293977722530515,6956.585331168181,-3.5,26.089445346592676,matched
MV_ACTIVE,33,3.3,6955.209917921454,-3.5,26.24586753272897,1.5642218613629297,6955.209917921454,-3.5,26.24586753272897,matched
MV_ACTIVE,34,3.4,6953.8495212045955,-3.5,26.39603283141981,1.5016529869084125,6953.8495212045955,-3.5,26.39603283141981,matched
MV_ACTIVE,35,3.5,6956.503540356412,-3.5,26.540191518163017,1.4415868674320764,6956.503540356412,-3.5,26.540191518163017,matched
MV_ACTIVE,36,3.6,6955.171398742155,-3.5,26.678583857436497,1.3839233927347934,6955.171398742155,-3.5,26.678583857436497,matched
MV_ACTIVE,37,3.7,6953.85254279247,-3.5,26.811440503139035,1.3285664570254014,6953.85254279247,-3.5,26.811440503139035,matched
MV_ACTIVE,38,3.8,6956.546441080771,-3.5,26.938982883013473,1.275423798744386,6956.546441080771,-3.5,26.938982883013473,matched
MV_ACTIVE,39,3.9,6955.25258343754,-3.5,27.061423567692934,1.2244068467946108,6955.25258343754,-3.5,27.061423567692934,matched
MV_ACTIVE,40,4.0,6953.970480100039,-3.5,27.178966624985218,1.1754305729228265,6953.970480100039,-3.5,27.178966624985218,matched
MV_ACTIVE,41,4.1,6956.699660896037,-3.5,27.29180795998581,1.1284133500059128,6956.699660896037,-3.5,27.29180795998581,matched
p16_16001_on_ramp_0000,41,4.1,6851.64,-3.5,16.4,4.0,6851.64,-3.5,16.4,matched
MV_ACTIVE,42,4.2,6955.439674460195,-3.5,27.400135641586377,1.0832768160056758,6955.439674460195,-3.5,27.400135641586377,matched
p16_16001_on_ramp_0000,42,4.2,6853.320000000001,-3.5,16.799999999999997,4.0,6853.320000000001,-3.5,16.799999999999997,matched
MV_ACTIVE,43,4.3,6954.1900874817875,-3.5,27.504130215922924,1.039945743365449,6954.1900874817875,-3.5,27.504130215922924,matched
